date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:33	286493/286493	---M-Z	200	added ('OK')	text/html	etag:W/%22e6089f712c3b4397f3307701877ea76c%22	https://wisteria-clownfish-y7xn.squarespace.com/	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/index.html	(from )
10:51:33	342/342	---M-Z	200	added ('OK')	text/plain	date:Thu,%2015%20Jun%202023%2015:30:15%20GMT	https://wisteria-clownfish-y7xn.squarespace.com/robots.txt		(from )
10:51:34	263628/263628	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2015:51:33%20GMT	https://wisteria-clownfish-y7xn.squarespace.com/cart	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/cart.html	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:34	0/0	---M--	302	error ('Found')	text/html	etag:W/%225ba6f99f06d7dd0fa6b787bfaa573203%22	https://wisteria-clownfish-y7xn.squarespace.com/resources-1	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/resources-1.1.delayed	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:36	378844/378844	---M-Z	200	added ('OK')	text/html	etag:W/%2264111c6489fd3e09b76e00b200b90a3e--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-studies	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-studies.html	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:37	373815/373815	---M-Z	200	added ('OK')	text/html	etag:W/%22e50fededb6e11751ac0e7d1c56c93d78%22	https://wisteria-clownfish-y7xn.squarespace.com/tools-resources	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/tools-resources.html	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:37	0/0	---M--	302	error ('Found')	text/html	etag:W/%229dad0d16c404567121fad41c585d813c%22	https://wisteria-clownfish-y7xn.squarespace.com/research-1	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/research-1.4.delayed	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:38	292745/292745	---M-Z	200	added ('OK')	text/html	etag:W/%227c8a08b47c61d2dad93989c8fcb66327--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/inland-from-the-coast	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/inland-from-the-coast.html	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:39	0/0	---M--	302	error ('Found')	text/html	etag:W/%22af4cdc68e514b71131ee601d6bdf6d9a%22	https://wisteria-clownfish-y7xn.squarespace.com/outreach-1	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/outreach-1.6.delayed	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:40	285835/285835	---M-Z	200	added ('OK')	text/html	etag:W/%2257b594582cdc03265e96cd51446cf885--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/lrap	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/lrap.html	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:41	283916/283916	---M-Z	200	added ('OK')	text/html	etag:W/%227c3591a6945c3c850ade61a29c4f45ab--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/lcri	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/lcri.html	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:42	0/0	---M--	302	error ('Found')	text/html	etag:W/%222041b0d2c649b0a3230e9b78bcafe131%22	https://wisteria-clownfish-y7xn.squarespace.com/about-1	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/about-1.9.delayed	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:44	277222/277222	---M-Z	200	added ('OK')	text/html	etag:W/%229f4f6e8948f97b9eee8bd2d69ff73ca0--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/about-resiliency	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/about-resiliency.html	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:45	389724/389724	---M-Z	200	added ('OK')	text/html	etag:W/%2245f844bf96657cb3fab2bbd4f86e9c84--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/resiliency-team	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/resiliency-team.html	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:46	290561/290561	---M-Z	200	added ('OK')	text/html	etag:W/%22f41b896092b8428e4531be6ea549f3a3--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/contact	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/contact.html	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:46	262897/262897	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22141939b37f5b62a26b31f15074a9d788%22	https://wisteria-clownfish-y7xn.squarespace.com/subscribe	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/subscribe.d.delayed	(from https://wisteria-clownfish-y7xn.squarespace.com/)
10:51:48	295411/295411	---M-Z	200	added ('OK')	text/html	etag:W/%22fa5ed46db9f227c5c8ec8acf54c47db1--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-rogue-river	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-rogue-river.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:49	289323/289323	---M-Z	200	added ('OK')	text/html	etag:W/%22fc3c25a0158d982d00f54083d90c0e52--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-prince-george-county	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-prince-george-county.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:49	284500/284500	---M-Z	200	added ('OK')	text/html	etag:W/%220602739b4dcc4ebfe35da86f106ef571--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-sanibel-island	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-sanibel-island.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:50	285801/285801	---M-Z	200	added ('OK')	text/html	etag:W/%22ab4881fa24d291b5262c3aea56733f91--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-coastal-south-carolina	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-coastal-south-carolina.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:52	284379/284379	---M-Z	200	added ('OK')	text/html	etag:W/%224b2f134eb98012f477063f78289b65a7--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-lone-star	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-lone-star.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:53	302616/302616	---M-Z	200	added ('OK')	text/html	etag:W/%22e2be54e7c49c01409e6f8b4608b474b3--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-southern-shores-nc	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-southern-shores-nc.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:54	308226/308226	---M-Z	200	added ('OK')	text/html	etag:W/%22826ec908c2cf33cc00c6b791ad5ed379--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-sanibel-fl	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-sanibel-fl.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:55	309364/309364	---M-Z	200	added ('OK')	text/html	etag:W/%229116e600b2aee321a06db62c74937c2c--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-onkaparinga-australia	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-onkaparinga-australia.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:56	310075/310075	---M-Z	200	added ('OK')	text/html	etag:W/%22d11df8f64ce81ea805916fa33ad711d9--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-morpeth-england	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-morpeth-england.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:57	289086/289086	---M-Z	200	added ('OK')	text/html	etag:W/%22d10f14334dd9651e8c9b15dc18d7571e--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-maasbommel-netherlands	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-maasbommel-netherlands.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:58	310207/310207	---M-Z	200	added ('OK')	text/html	etag:W/%22efdd2fcce6bf69ced4793cb5eacac843--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-mecklenburg-county-nc	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-mecklenburg-county-nc.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:51:59	288891/288891	---M-Z	200	added ('OK')	text/html	etag:W/%22b4fd647a460e48a29c38048282839d8a--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-south-holland-il	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-south-holland-il.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:00	302333/302333	---M-Z	200	added ('OK')	text/html	etag:W/%221b44c0534e60e0f4f5f4ae51f08722d6--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-warrington-england	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-warrington-england.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:01	293325/293325	---M-Z	200	added ('OK')	text/html	etag:W/%228a5804a46319047128ac57a4f0df3f0a--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-santa-cruz-ca	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-santa-cruz-ca.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:01	284537/284537	---M-Z	200	added ('OK')	text/html	etag:W/%22d65723297ba023f95dab97575db1a672--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-san-mateo-ca	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-san-mateo-ca.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:02	290834/290834	---M-Z	200	added ('OK')	text/html	etag:W/%227adc77409454422eaeaf9039f6dfacbb--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-grand-forks-nd	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-grand-forks-nd.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:04	291670/291670	---M-Z	200	added ('OK')	text/html	etag:W/%22fbff195add1024b838bde8eba0bb2e3e--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-boulder-co	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-boulder-co.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:05	291786/291786	---M-Z	200	added ('OK')	text/html	etag:W/%22e0cd6c95a0e3305ac0dadaf211aa6974--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-rahway-nj	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-rahway-nj.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:06	291646/291646	---M-Z	200	added ('OK')	text/html	etag:W/%2256acf7bb2632b532480afa3d1d6a845f--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-hammond-la	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-hammond-la.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:07	288722/288722	---M-Z	200	added ('OK')	text/html	etag:W/%22b605a3dd4309a369aff8a7cd78b2e393--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-monroe-la	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-monroe-la.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:08	290451/290451	---M-Z	200	added ('OK')	text/html	etag:W/%22d56d1f8e1d28dd543dcb7beea69fd373--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-st-mary-parish	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-st-mary-parish.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:09	289906/289906	---M-Z	200	added ('OK')	text/html	etag:W/%22600b614bc7dedadfc29f9e887b0a4081--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-morgan-city-la	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-morgan-city-la.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:10	288988/288988	---M-Z	200	added ('OK')	text/html	etag:W/%22c2bbb90cf3ff7b0aa8a99a554e9b394b--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-slidell-la	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-slidell-la.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:11	289752/289752	---M-Z	200	added ('OK')	text/html	etag:W/%227bdd1b989480fe13e2542428df65a5f0--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-mandeville-la	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-mandeville-la.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:12	308559/308559	---M-Z	200	added ('OK')	text/html	etag:W/%2294315bee64c3c08ee626676b74476f19--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-central-la	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-central-la.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
10:52:13	294873/294873	---M-Z	200	added ('OK')	text/html	etag:W/%22ba72515e9d36b71abfb2399282dcfe44--gzip%22	https://wisteria-clownfish-y7xn.squarespace.com/case-study-lafourche-parish	/Users/austinfranklin/Desktop/asdfasdf%20/resiliency/wisteria-clownfish-y7xn.squarespace.com/case-study-lafourche-parish.html	(from https://wisteria-clownfish-y7xn.squarespace.com/case-studies)
